marca,origen,tipo_producto,presentaciones,precio_bs_rango,canal,ciudad,fuente
Becoco,Bolivia (local),Extra virgen prensado en frio sin refinar,200 ml / 720 ml,55-140,Tiendas naturales / e-commerce / redes,Cochabamba,CaliFrut / Facebook BeCoco.bol
Madre Tierra,Bolivia (local),Extra virgen organico certificado prensado en frio,frascos pequenos,s/d,Tiendas naturales / Amazon,s/d,Busqueda / Amazon
Dream Cos,Bolivia (local),Extra virgen,200 ml,s/d,E-commerce,s/d,dreamcosrl.com
Viasana,Bolivia (retailer),Extra virgen premium,720 ml,s/d,Tienda de salud,Cochabamba,viasanabolivia.com
Natural Farma,Bolivia (retailer),Aceite de coco (salud),s/d,s/d,Farmacia natural,s/d,naturalfarma.bo
Organic Natural Shop,Bolivia (retailer),Aceite de coco,370 ml,s/d,E-commerce,s/d,sumerlabs
Artesanales varios,Bolivia (local),Prensado en frio virgen,200 ml+,24-200,Ferias / redes / evisos,Tarija / Santa Cruz / La Paz,evisos.com.bo
